station_id,stationname,date,daytype,rides
40220,Western-Forest Park,2016-05-14,A,956
40220,Western-Forest Park,2016-05-15,U,792
40220,Western-Forest Park,2016-05-16,W,1716
40220,Western-Forest Park,2016-05-17,W,1730
40220,Western-Forest Park,2016-05-18,W,1749
40220,Western-Forest Park,2016-05-19,W,1735
40220,Western-Forest Park,2016-05-20,W,1763
40220,Western-Forest Park,2016-05-21,A,1073
40220,Western-Forest Park,2016-05-22,U,873
40220,Western-Forest Park,2016-05-23,W,1812
40220,Western-Forest Park,2016-05-24,W,1845
40220,Western-Forest Park,2016-05-25,W,1754
40220,Western-Forest Park,2016-05-26,W,1751
40220,Western-Forest Park,2016-05-27,W,1742
40220,Western-Forest Park,2016-05-28,A,1109
40220,Western-Forest Park,2016-05-29,U,837
40220,Western-Forest Park,2016-05-30,U,823
40220,Western-Forest Park,2016-05-31,W,1659
40220,Western-Forest Park,2016-06-01,W,1893
40220,Western-Forest Park,2016-06-02,W,1839
40220,Western-Forest Park,2016-06-03,W,1846
40220,Western-Forest Park,2016-06-04,A,978
40220,Western-Forest Park,2016-06-05,U,833
40220,Western-Forest Park,2016-06-06,W,1734
40220,Western-Forest Park,2016-06-07,W,1767
40220,Western-Forest Park,2016-06-08,W,1790
40220,Western-Forest Park,2016-06-09,W,1760
40220,Western-Forest Park,2016-06-10,W,1815
40220,Western-Forest Park,2016-06-11,A,1158
40220,Western-Forest Park,2016-06-12,U,837
40220,Western-Forest Park,2016-06-13,W,1776
40220,Western-Forest Park,2016-06-14,W,1790
40220,Western-Forest Park,2016-06-15,W,1819
40220,Western-Forest Park,2016-06-16,W,1785
40220,Western-Forest Park,2016-06-17,W,1709
40220,Western-Forest Park,2016-06-18,A,1081
40220,Western-Forest Park,2016-06-19,U,818
40220,Western-Forest Park,2016-06-20,W,1584
40220,Western-Forest Park,2016-06-21,W,1716
40220,Western-Forest Park,2016-06-22,W,1449
40220,Western-Forest Park,2016-06-23,W,1493
40220,Western-Forest Park,2016-06-24,W,1557
40220,Western-Forest Park,2016-06-25,A,1063
40220,Western-Forest Park,2016-06-26,U,899
40220,Western-Forest Park,2016-06-27,W,1512
40220,Western-Forest Park,2016-06-28,W,1511
40220,Western-Forest Park,2016-06-29,W,1556
40220,Western-Forest Park,2016-06-30,W,1514
40220,Western-Forest Park,2016-07-01,W,1567
40220,Western-Forest Park,2016-07-02,A,1076
40220,Western-Forest Park,2016-07-03,U,829
40220,Western-Forest Park,2016-07-04,U,879
40220,Western-Forest Park,2016-07-05,W,1489
40220,Western-Forest Park,2016-07-06,W,1565
40220,Western-Forest Park,2016-07-07,W,1603
40220,Western-Forest Park,2016-07-08,W,1563
40220,Western-Forest Park,2016-07-09,A,1133
40220,Western-Forest Park,2016-07-10,U,938
40220,Western-Forest Park,2016-07-11,W,1570
40220,Western-Forest Park,2016-07-12,W,1623
40220,Western-Forest Park,2016-07-13,W,1563
40220,Western-Forest Park,2016-07-14,W,1668
40220,Western-Forest Park,2016-07-15,W,1618
40220,Western-Forest Park,2016-07-16,A,1128
40220,Western-Forest Park,2016-07-17,U,818
40220,Western-Forest Park,2016-07-18,W,1410
40220,Western-Forest Park,2016-07-19,W,1652
40220,Western-Forest Park,2016-07-20,W,1653
40220,Western-Forest Park,2016-07-21,W,1538
40220,Western-Forest Park,2016-07-22,W,1575
40220,Western-Forest Park,2016-07-23,A,1015
40220,Western-Forest Park,2016-07-24,U,698
40220,Western-Forest Park,2016-07-25,W,1466
40220,Western-Forest Park,2016-07-26,W,1559
40220,Western-Forest Park,2016-07-27,W,1603
40220,Western-Forest Park,2016-07-28,W,1669
40220,Western-Forest Park,2016-07-29,W,1693
40220,Western-Forest Park,2016-07-30,A,1137
40220,Western-Forest Park,2016-07-31,U,949
40220,Western-Forest Park,2016-08-01,W,1584
40220,Western-Forest Park,2016-08-02,W,1530
40220,Western-Forest Park,2016-08-03,W,1492
40220,Western-Forest Park,2016-08-04,W,1537
40220,Western-Forest Park,2016-08-05,W,1524
40220,Western-Forest Park,2016-08-06,A,1036
40220,Western-Forest Park,2016-08-07,U,831
40220,Western-Forest Park,2016-08-08,W,1434
40220,Western-Forest Park,2016-08-09,W,1454
40220,Western-Forest Park,2016-08-10,W,1462
40220,Western-Forest Park,2016-08-11,W,1500
40220,Western-Forest Park,2016-08-12,W,1384
40220,Western-Forest Park,2016-08-13,A,1072
40220,Western-Forest Park,2016-08-14,U,875
40220,Western-Forest Park,2016-08-15,W,1415
40220,Western-Forest Park,2016-08-16,W,1419
40220,Western-Forest Park,2016-08-17,W,1393
40220,Western-Forest Park,2016-08-18,W,1464
40220,Western-Forest Park,2016-08-19,W,1447
40220,Western-Forest Park,2016-08-20,A,1024
40220,Western-Forest Park,2016-08-21,U,911
40220,Western-Forest Park,2016-08-22,W,1555
40220,Western-Forest Park,2016-08-23,W,1556
40220,Western-Forest Park,2016-08-24,W,1515
40220,Western-Forest Park,2016-08-25,W,1615
40220,Western-Forest Park,2016-08-26,W,1650
40220,Western-Forest Park,2016-08-27,A,1070
40220,Western-Forest Park,2016-08-28,U,804
40220,Western-Forest Park,2016-08-29,W,1592
40220,Western-Forest Park,2016-08-30,W,1506
40220,Western-Forest Park,2016-08-31,W,1672
