LAT,LONG
            45.084895,           -93.368840
            45.084955,           -93.349746
            45.085012,           -93.330652
            45.085065,           -93.311559
            45.085116,           -93.292465
            45.085286,           -93.216089
            45.085320,           -93.196995
            45.085352,           -93.177901
            45.085380,           -93.158807
            45.085405,           -93.139713
            45.085427,           -93.120619
            45.085445,           -93.101524
            45.085460,           -93.082430
            45.085473,           -93.063336
            45.085482,           -93.044242
            45.085487,           -93.025148
            45.085490,           -93.006054
            45.085489,           -92.986959
            45.069497,           -93.750518
            45.069621,           -93.731431
            45.069742,           -93.712344
            45.069859,           -93.693256
            45.069974,           -93.674168
            45.070085,           -93.655081
            45.070193,           -93.635993
            45.070297,           -93.616905
            45.070399,           -93.597817
            45.070497,           -93.578729
            45.070592,           -93.559640
            45.070684,           -93.540552
            45.070773,           -93.521463
            45.070858,           -93.502375
            45.070941,           -93.483286
            45.071020,           -93.464197
            45.071096,           -93.445109
            45.071169,           -93.426020
            45.071238,           -93.406931
            45.071305,           -93.387842
            45.071368,           -93.368753
            45.071428,           -93.349664
            45.071485,           -93.330574
            45.071539,           -93.311485
            45.071589,           -93.292396
            45.071759,           -93.216038
            45.071794,           -93.196949
            45.071825,           -93.177859
            45.071853,           -93.158769
            45.071878,           -93.139680
            45.071900,           -93.120590
            45.071918,           -93.101501
            45.071934,           -93.082411
            45.071946,           -93.063321
            45.071955,           -93.044231
            45.071961,           -93.025142
            45.071963,           -93.006052
            45.071963,           -92.986962
            45.055972,           -93.750341
            45.056095,           -93.731259
            45.056216,           -93.712176
            45.056333,           -93.693093
            45.056448,           -93.674009
            45.056559,           -93.654926
            45.056667,           -93.635843
            45.056771,           -93.616759
            45.056873,           -93.597676
            45.056971,           -93.578592
            45.057066,           -93.559508
            45.057158,           -93.540424
            45.057247,           -93.521340
            45.057332,           -93.502256
            45.057415,           -93.483172
            45.057494,           -93.464088
            45.057570,           -93.445004
            45.057642,           -93.425919
            45.057712,           -93.406835
            45.057778,           -93.387750
            45.057842,           -93.368666
            45.057902,           -93.349581
            45.057958,           -93.330496
            45.058012,           -93.311412
            45.058062,           -93.292327
            45.058232,           -93.215987
            45.058267,           -93.196902
            45.058298,           -93.177817
            45.058326,           -93.158732
            45.058351,           -93.139647
            45.058373,           -93.120562
            45.058392,           -93.101477
            45.058407,           -93.082391
            45.058419,           -93.063306
            45.058428,           -93.044221
            45.058434,           -93.025136
            45.058436,           -93.006051
            45.058436,           -92.986965
            45.042446,           -93.750165
            45.042570,           -93.731086
            45.042690,           -93.712008
            45.042808,           -93.692929
            45.042922,           -93.673851
            45.043033,           -93.654772
            45.043141,           -93.635693
            45.043245,           -93.616614
            45.043347,           -93.597535
            45.043445,           -93.578456
            45.043540,           -93.559376
            45.043632,           -93.540297
            45.043720,           -93.521218
            45.043806,           -93.502138
            45.043888,           -93.483058
            45.043967,           -93.463979
            45.044043,           -93.444899
            45.044116,           -93.425819
            45.044185,           -93.406739
            45.044252,           -93.387659
            45.044315,           -93.368579
            45.044375,           -93.349499
            45.044432,           -93.330418
            45.044485,           -93.311338
            45.044536,           -93.292258
            45.044706,           -93.215936
            45.044740,           -93.196856
            45.044771,           -93.177775
            45.044799,           -93.158695
            45.044824,           -93.139614
            45.044846,           -93.120533
            45.044865,           -93.101453
            45.044880,           -93.082372
            45.044892,           -93.063291
            45.044901,           -93.044211
            45.044907,           -93.025130
            45.044910,           -93.006049
            45.044909,           -92.986969
            45.028920,           -93.749988
            45.029044,           -93.730914
            45.029164,           -93.711840
            45.029282,           -93.692766
            45.029396,           -93.673692
            45.029507,           -93.654618
            45.029614,           -93.635543
            45.029719,           -93.616469
            45.029820,           -93.597394
            45.029919,           -93.578319
            45.030014,           -93.559245
            45.030105,           -93.540170
            45.030194,           -93.521095
            45.030279,           -93.502020
            45.030362,           -93.482945
            45.030441,           -93.463869
            45.030517,           -93.444794
            45.030589,           -93.425719
            45.030659,           -93.406643
            45.030725,           -93.387568
            45.030788,           -93.368492
            45.030848,           -93.349416
            45.030905,           -93.330341
            45.030959,           -93.311265
            45.031009,           -93.292189
            45.031056,           -93.273113
            45.031100,           -93.254037
            45.031141,           -93.234961
            45.031179,           -93.215885
            45.031213,           -93.196809
            45.031245,           -93.177733
            45.031273,           -93.158657
            45.031298,           -93.139581
            45.031319,           -93.120505
            45.031338,           -93.101429
            45.031353,           -93.082353
            45.031365,           -93.063276
            45.031374,           -93.044200
            45.031380,           -93.025124
            45.031383,           -93.006048
            45.031382,           -92.986972
            45.015394,           -93.749811
            45.015518,           -93.730742
            45.015638,           -93.711673
            45.015756,           -93.692603
            45.015870,           -93.673533
